date,measure,value
2013-11-01,m1_currency,62123.16458637001
2013-11-01,m2_repo,1922.027891
2013-11-01,m2_total,1409659.13356137
2013-11-01,m3_total,1426601.0415583698
2013-11-01,m2_nid,20621.87134
2013-11-01,m2_deposit_fx,75079.845691
2013-12-01,m2_deposit_saving,131765.24381400002
2013-12-01,m2_deposit_fx,80327.08787000002
2013-12-01,m1_total,327596.00783269
2013-12-01,m1_currency,62980.61101669
2013-12-01,m1_deposit_demand,264615.39681600005
2013-12-01,m2_deposit_other,205116.98911500003
2013-12-01,m2_repo,2089.671597
2013-12-01,m2_total,1436451.8506596903
2013-12-01,m3_deposit_other,15865.279742999934
2013-12-01,m2_deposit_fixed,671265.081507
2013-12-01,m3_total,1452317.1304026903
2013-12-01,m2_nid,18291.768924
2014-01-01,m1_total,331995.46641952003
2014-01-01,m2_nid,17958.079057000003
2014-01-01,m2_repo,420.169626
2014-01-01,m2_deposit_fx,81436.60178900002
2014-01-01,m3_deposit_other,18094.609329000115
2014-01-01,m2_total,1447905.21964452
2014-01-01,m3_total,1465999.82897352
2014-01-01,m2_deposit_saving,135785.327774
2014-01-01,m2_deposit_other,208139.380017
2014-01-01,m1_deposit_demand,260639.054643
2014-01-01,m1_currency,71356.41177652
2014-01-01,m2_deposit_fixed,672170.1949619999
2014-02-01,m2_nid,17994.940453
2014-02-01,m3_deposit_other,17589.64511599997
2014-02-01,m1_total,325880.72828299
2014-02-01,m2_deposit_fixed,673476.509599
2014-02-01,m2_deposit_fx,85099.366439
2014-02-01,m3_total,1462400.30099799
2014-02-01,m1_currency,66678.12634499001
2014-02-01,m1_deposit_demand,259202.60193799998
2014-02-01,m2_deposit_other,204327.246693
2014-02-01,m2_deposit_saving,137590.258962
2014-02-01,m2_repo,441.605453
2014-02-01,m2_total,1444810.65588199
2014-03-01,m2_deposit_fx,88880.32790599999
2014-03-01,m3_total,1475936.9967622
2014-03-01,m2_deposit_fixed,679618.5095679999
2014-03-01,m2_total,1459864.0668502
2014-03-01,m2_deposit_saving,136955.971712
2014-03-01,m1_total,327064.1755722
2014-03-01,m2_nid,18074.404619
2014-03-01,m1_deposit_demand,260736.717354
2014-03-01,m3_deposit_other,16072.929912000196
2014-03-01,m2_deposit_other,209220.96412900003
2014-03-01,m2_repo,49.713344
2014-03-01,m1_currency,66327.45821819999
2014-04-01,m2_nid,17741.081835999998
2014-04-01,m2_deposit_fixed,687109.1793670001
2014-04-01,m3_total,1486408.45282635
