date,category,variable,value
1983-01-01,financing,domestic_net,4466
1983-01-01,financing,foreign_gross,5067
1983-01-01,financing,domestic_gross,4797
1983-01-01,budget,spending_de_net,9417
1983-01-01,budget,spending_covid19,0
1983-01-01,budget,spending_de_gross,9670
1984-01-01,budget,spending_de_gross,8407
1984-01-01,budget,spending_oe,17506
1984-01-01,budget,revenue,20805
1984-01-01,budget,balance,-4775
1984-01-01,financing,foreign_net,3093
1984-01-01,financing,asset_use,-1471
1984-01-01,financing,foreign_gross,4155
1984-01-01,financing,domestic_net,3153
1984-01-01,financing,domestic_gross,4081
1984-01-01,budget,spending_covid19,0
1984-01-01,budget,spending_de_net,8074
1985-01-01,budget,spending_de_net,6756
1985-01-01,budget,spending_de_gross,7142
1985-01-01,budget,spending_oe,18766
1985-01-01,budget,revenue,21115
1985-01-01,budget,balance,-4407
1985-01-01,financing,asset_use,-140
1985-01-01,financing,foreign_net,956
1985-01-01,financing,foreign_gross,7343
1985-01-01,financing,domestic_net,3591
1985-01-01,financing,domestic_gross,4980
1985-01-01,budget,spending_covid19,0
1986-01-01,budget,spending_covid19,0
1986-01-01,budget,spending_de_net,6949
1986-01-01,budget,spending_oe,20075
1986-01-01,budget,spending_de_gross,7559
1986-01-01,budget,revenue,19518
1986-01-01,budget,balance,-7506
1986-01-01,financing,asset_use,1229
1986-01-01,financing,foreign_net,1348
1986-01-01,financing,foreign_gross,2893
1986-01-01,financing,domestic_net,4929
1986-01-01,financing,domestic_gross,5832
1987-01-01,financing,domestic_gross,9672
1987-01-01,budget,spending_covid19,0
1987-01-01,budget,spending_de_net,4111
1987-01-01,budget,spending_de_gross,4741
1987-01-01,budget,revenue,18143
1987-01-01,budget,spending_oe,20185
1987-01-01,budget,balance,-6153
1987-01-01,financing,asset_use,-102
1987-01-01,financing,foreign_net,-2438
1987-01-01,financing,foreign_gross,1086
1987-01-01,financing,domestic_net,8693
1988-01-01,financing,domestic_net,7857
1988-01-01,financing,domestic_gross,9302
1988-01-01,budget,spending_covid19,0
1988-01-01,budget,spending_de_net,4045
1988-01-01,budget,spending_de_gross,5231
1988-01-01,budget,spending_oe,21212
1988-01-01,budget,revenue,21967
1988-01-01,budget,balance,-3290
1988-01-01,financing,asset_use,-1473
1988-01-01,financing,foreign_gross,2301
1988-01-01,financing,foreign_net,-3094
1989-01-01,financing,foreign_gross,1789
1989-01-01,financing,domestic_net,2368
1989-01-01,budget,spending_covid19,0
1989-01-01,financing,domestic_gross,3913
1989-01-01,budget,spending_de_net,5701
1989-01-01,budget,spending_de_gross,7696
1989-01-01,budget,spending_oe,22982
1989-01-01,budget,revenue,25273
1989-01-01,budget,balance,-3410
1989-01-01,financing,asset_use,2080
1989-01-01,financing,foreign_net,-1038
1990-01-01,financing,foreign_net,-767
1990-01-01,financing,foreign_gross,1778
1990-01-01,financing,domestic_net,3793
1990-01-01,financing,domestic_gross,5436
1990-01-01,budget,spending_covid19,0
1990-01-01,budget,spending_de_net,7932
1990-01-01,budget,spending_de_gross,10689
1990-01-01,budget,revenue,29521
1990-01-01,budget,spending_oe,25026
1990-01-01,budget,balance,-3437
1990-01-01,financing,asset_use,411
1991-01-01,financing,asset_use,-635
1991-01-01,financing,foreign_net,118
1991-01-01,financing,foreign_gross,1420
1991-01-01,financing,domestic_net,3157
1991-01-01,financing,domestic_gross,3800
1991-01-01,budget,spending_covid19,0
1991-01-01,budget,spending_de_gross,9565
1991-01-01,budget,spending_de_net,8397
1991-01-01,budget,spending_oe,28296
1991-01-01,budget,revenue,34053
1991-01-01,budget,balance,-2640
1992-01-01,budget,balance,-1243
1992-01-01,financing,asset_use,2934
1992-01-01,financing,foreign_net,-3170
1992-01-01,financing,foreign_gross,734
1992-01-01,financing,domestic_net,1479
1992-01-01,financing,domestic_gross,4300
1992-01-01,budget,spending_covid19,0
1992-01-01,budget,spending_de_net,8418
1992-01-01,budget,spending_oe,32075
1992-01-01,budget,spending_de_gross,9688
1992-01-01,budget,revenue,39250
1993-01-01,budget,revenue,41691
1993-01-01,budget,balance,354
1993-01-01,financing,asset_use,2405
1993-01-01,financing,foreign_net,-3134
1993-01-01,financing,foreign_gross,1220
1993-01-01,financing,domestic_net,375
1993-01-01,financing,domestic_gross,2800
1993-01-01,budget,spending_covid19,0
1993-01-01,budget,spending_de_net,9120
1993-01-01,budget,spending_de_gross,10124
1993-01-01,budget,spending_oe,32217
1994-01-01,budget,spending_oe,35064
1994-01-01,budget,revenue,49446
1994-01-01,budget,balance,4408
1994-01-01,financing,foreign_net,-4757
1994-01-01,financing,asset_use,-1402
1994-01-01,financing,foreign_gross,1293
1994-01-01,financing,domestic_net,1751
1994-01-01,financing,domestic_gross,5500
1994-01-01,budget,spending_covid19,0
1994-01-01,budget,spending_de_net,9974
1994-01-01,budget,spending_de_gross,11277
1995-01-01,budget,spending_de_gross,14051
1995-01-01,budget,spending_oe,36573
1995-01-01,budget,revenue,50954
1995-01-01,budget,balance,1861
1995-01-01,financing,asset_use,-226
1995-01-01,financing,foreign_net,-1635
1995-01-01,financing,foreign_gross,442
1995-01-01,financing,domestic_net,0
1995-01-01,financing,domestic_gross,2750
1995-01-01,budget,spending_covid19,0
1995-01-01,budget,spending_de_net,12520
1996-01-01,budget,spending_de_net,12600
1996-01-01,budget,spending_oe,43865
