series,date,exports,exports_domestic,re_exports,imports,imports_retained,total,balance
abs,2000-01-01,25431356829.0,,,20823323043.0,,46254679872.0,4608033786.0
abs,2000-02-01,27283174258.0,,,22067338380.0,,49350512638.0,5215835878.0
abs,2000-03-01,31988645788.0,,,24984873231.0,,56973519019.0,7003772557.0
abs,2000-04-01,28902713733.0,,,25500475032.0,,54403188765.0,3402238701.0
abs,2000-05-01,30269492381.0,,,26032155365.0,,56301647746.0,4237337016.0
abs,2000-06-01,31762585998.0,,,26992274608.0,,58754860606.0,4770311390.0
abs,2000-07-01,32704770280.0,,,28657527281.0,,61362297561.0,4047242999.0
abs,2000-08-01,34007709517.0,,,29089502799.0,,63097212316.0,4918206718.0
abs,2000-09-01,34941150362.0,,,28742466416.0,,63683616778.0,6198683946.0
abs,2000-10-01,32971839574.0,,,27281317008.0,,60253156582.0,5690522566.0
abs,2000-11-01,32778559823.0,,,26765489297.0,,59544049120.0,6013070526.0
abs,2000-12-01,30228316955.0,,,24522125807.0,,54750442762.0,5706191148.0
abs,2001-01-01,28054917092.0,,,25014292247.0,,53069209339.0,3040624845.0
abs,2001-02-01,28434980985.0,,,22202158380.0,,50637139365.0,6232822605.0
abs,2001-03-01,29585276901.0,,,25426231891.0,,55011508792.0,4159045010.0
abs,2001-04-01,27333623326.0,,,22863418850.0,,50197042176.0,4470204476.0
abs,2001-05-01,28030322908.0,,,23219540745.0,,51249863653.0,4810782163.0
abs,2001-06-01,27416637806.0,,,24191012370.0,,51607650176.0,3225625436.0
abs,2001-07-01,26923582116.0,,,22568164442.0,,49491746558.0,4355417674.0
abs,2001-08-01,27665106965.0,,,22201261374.0,,49866368339.0,5463845591.0
abs,2001-09-01,27532841779.0,,,22236474758.0,,49769316537.0,5296367021.0
abs,2001-10-01,28708859071.0,,,24373243340.0,,53082102411.0,4335615731.0
abs,2001-11-01,28329918367.0,,,24352770731.0,,52682689098.0,3977147636.0
abs,2001-12-01,26267747322.0,,,21580523897.0,,47848271219.0,4687223425.0
abs,2002-01-01,27316928138.0,,,23032946501.0,,50349874639.0,4283981637.0
abs,2002-02-01,24012915306.0,,,20364232876.0,,44377148182.0,3648682430.0
abs,2002-03-01,30576213580.0,,,25581215994.0,,56157429574.0,4994997586.0
abs,2002-04-01,28983013933.0,,,26948791099.0,,55931805032.0,2034222834.0
abs,2002-05-01,28995522832.0,,,25368194525.0,,54363717357.0,3627328307.0
abs,2002-06-01,29105760441.0,,,24841759927.0,,53947520368.0,4264000514.0
abs,2002-07-01,30946934681.0,,,26869778749.0,,57816713430.0,4077155932.0
