date,bank,rate,value
1997-10-01,commercial,fdr_1mo,8.39
1997-10-01,commercial,fdr_6mo,8.71
1997-10-01,investment,alr,11.88
1997-10-01,investment,fdr_1mo,8.77
1997-10-01,commercial,blr,9.53
1997-10-01,investment,fdr_9mo,8.02
1997-10-01,commercial,sr,4.24
1997-10-01,commercial,fdr_9mo,8.74
1997-10-01,commercial,fdr_3mo,8.56
1997-11-01,commercial,fdr_12mo,9.26
1997-11-01,investment,fdr_12mo,9.62
1997-11-01,commercial,sr,4.23
1997-11-01,investment,fdr_6mo,9.97
1997-11-01,commercial,alr,11.09
1997-11-01,investment,fdr_3mo,9.91
1997-11-01,commercial,fdr_9mo,9.23
1997-11-01,investment,fdr_9mo,8.72
1997-11-01,commercial,fdr_6mo,9.18
1997-11-01,commercial,fdr_3mo,9.08
1997-11-01,commercial,blr,10.07
1997-11-01,investment,alr,13.06
1997-11-01,commercial,fdr_1mo,8.92
1997-11-01,investment,fdr_1mo,9.81
1997-12-01,investment,fdr_1mo,11.2
1997-12-01,commercial,fdr_12mo,9.33
1997-12-01,commercial,fdr_6mo,9.21
1997-12-01,commercial,fdr_1mo,8.81
1997-12-01,investment,alr,16.34
1997-12-01,commercial,alr,11.51
1997-12-01,investment,fdr_3mo,11.53
1997-12-01,investment,fdr_6mo,10.51
1997-12-01,commercial,fdr_3mo,9.06
1997-12-01,investment,fdr_9mo,8.8
1997-12-01,commercial,blr,10.33
1997-12-01,commercial,sr,4.23
1997-12-01,investment,fdr_12mo,11.89
1997-12-01,commercial,fdr_9mo,9.27
1998-01-01,commercial,blr,10.44
1998-01-01,investment,alr,18.71
1998-01-01,commercial,alr,11.83
1998-01-01,investment,fdr_1mo,12.63
1998-01-01,investment,fdr_6mo,12.35
1998-01-01,commercial,sr,4.27
1998-01-01,investment,fdr_3mo,12.44
1998-01-01,commercial,fdr_12mo,9.36
1998-01-01,commercial,fdr_9mo,9.3
1998-01-01,investment,fdr_12mo,11.98
1998-01-01,investment,fdr_9mo,10.73
1998-01-01,commercial,fdr_3mo,9.09
1998-01-01,commercial,fdr_1mo,8.86
1998-01-01,commercial,fdr_6mo,9.25
1998-02-01,commercial,sr,4.32
1998-02-01,commercial,alr,12.47
1998-02-01,investment,fdr_6mo,10.29
1998-02-01,investment,alr,17.31
1998-02-01,investment,fdr_1mo,10.98
1998-02-01,commercial,fdr_9mo,9.62
1998-02-01,investment,fdr_12mo,11.02
1998-02-01,investment,fdr_9mo,10.48
1998-02-01,commercial,fdr_3mo,9.46
1998-02-01,commercial,fdr_1mo,9.25
1998-02-01,investment,fdr_3mo,11.01
1998-02-01,commercial,fdr_6mo,9.57
1998-02-01,commercial,fdr_12mo,9.67
1998-02-01,commercial,blr,11.08
1998-03-01,investment,fdr_6mo,11.13
1998-03-01,commercial,blr,11.96
1998-03-01,investment,alr,15.84
1998-03-01,commercial,fdr_1mo,9.56
1998-03-01,investment,fdr_1mo,10.88
1998-03-01,commercial,alr,13.33
1998-03-01,commercial,fdr_9mo,9.84
1998-03-01,commercial,fdr_6mo,9.84
1998-03-01,investment,fdr_12mo,11.05
1998-03-01,commercial,fdr_12mo,9.9
1998-03-01,investment,fdr_3mo,11.12
1998-03-01,commercial,sr,4.34
1998-03-01,commercial,fdr_3mo,9.79
1998-03-01,investment,fdr_9mo,10.48
1998-04-01,commercial,fdr_3mo,9.89
1998-04-01,investment,fdr_3mo,11.24
1998-04-01,commercial,alr,13.49
1998-04-01,commercial,fdr_9mo,9.97
1998-04-01,investment,fdr_6mo,11.21
1998-04-01,investment,alr,15.72
1998-04-01,commercial,fdr_6mo,9.99
1998-04-01,commercial,fdr_12mo,10.03
1998-04-01,investment,fdr_12mo,11.13
1998-04-01,investment,fdr_9mo,10.72
1998-04-01,commercial,fdr_1mo,9.65
1998-04-01,investment,fdr_1mo,11.1
1998-04-01,commercial,blr,12.16
1998-04-01,commercial,sr,4.44
1998-05-01,investment,fdr_1mo,10.92
1998-05-01,investment,fdr_9mo,11.06
1998-05-01,commercial,sr,4.46
1998-05-01,commercial,alr,13.540000000000001
1998-05-01,commercial,fdr_9mo,10.07
1998-05-01,commercial,fdr_3mo,10.0
1998-05-01,commercial,fdr_12mo,10.14
1998-05-01,commercial,blr,12.21
1998-05-01,commercial,fdr_6mo,10.1
1998-05-01,commercial,fdr_1mo,9.79
1998-05-01,investment,fdr_6mo,11.05
1998-05-01,investment,alr,15.62
1998-05-01,investment,fdr_3mo,10.98
1998-05-01,investment,fdr_12mo,11.16
1998-06-01,investment,fdr_1mo,11.1
1998-06-01,commercial,blr,12.27
1998-06-01,commercial,fdr_1mo,10.04
1998-06-01,commercial,alr,13.51
1998-06-01,commercial,sr,4.51
1998-06-01,investment,fdr_9mo,11.12
1998-06-01,investment,alr,15.59
1998-06-01,commercial,fdr_3mo,10.19
1998-06-01,commercial,fdr_12mo,10.24
1998-06-01,commercial,fdr_6mo,10.21
1998-06-01,investment,fdr_12mo,11.85
1998-06-01,commercial,fdr_9mo,10.18
1998-06-01,investment,fdr_3mo,11.06
1998-06-01,investment,fdr_6mo,10.39
1998-07-01,commercial,fdr_6mo,10.28
1998-07-01,commercial,blr,12.07
1998-07-01,investment,fdr_1mo,10.83
1998-07-01,investment,fdr_6mo,10.88
1998-07-01,commercial,fdr_3mo,10.27
1998-07-01,commercial,fdr_9mo,10.24
1998-07-01,commercial,alr,13.47
1998-07-01,commercial,fdr_1mo,10.14
1998-07-01,investment,fdr_12mo,12.45
1998-07-01,commercial,sr,4.54
1998-07-01,commercial,fdr_12mo,10.28
1998-07-01,investment,alr,15.23
1998-07-01,investment,fdr_9mo,10.87
1998-07-01,investment,fdr_3mo,10.82
1998-08-01,commercial,fdr_1mo,9.54
1998-08-01,investment,fdr_3mo,10.22
1998-08-01,investment,fdr_6mo,10.32
1998-08-01,investment,alr,14.81
1998-08-01,commercial,alr,13.11
1998-08-01,investment,fdr_9mo,11.28
1998-08-01,investment,fdr_1mo,9.99
1998-08-01,commercial,fdr_3mo,9.5
1998-08-01,commercial,fdr_6mo,9.51
1998-08-01,commercial,fdr_9mo,9.45
1998-08-01,commercial,fdr_12mo,9.46
1998-08-01,commercial,sr,4.51
1998-08-01,investment,fdr_12mo,11.3
1998-08-01,commercial,blr,11.7
1998-09-01,commercial,fdr_3mo,6.17
1998-09-01,commercial,blr,8.89
1998-09-01,commercial,fdr_1mo,6.19
1998-09-01,commercial,sr,4.0
1998-09-01,investment,fdr_12mo,12.2
1998-09-01,commercial,fdr_12mo,6.13
1998-09-01,investment,alr,12.92
1998-09-01,commercial,fdr_6mo,6.13
1998-09-01,investment,fdr_1mo,7.05
1998-09-01,commercial,fdr_9mo,6.12
1998-09-01,commercial,alr,11.09
1998-09-01,investment,fdr_9mo,8.71
1998-09-01,investment,fdr_6mo,8.2
1998-09-01,investment,fdr_3mo,7.46
1998-10-01,commercial,fdr_1mo,6.09
1998-10-01,commercial,sr,3.96
1998-10-01,commercial,fdr_6mo,6.04
1998-10-01,investment,fdr_6mo,6.9
1998-10-01,commercial,alr,10.43
1998-10-01,investment,alr,11.76
1998-10-01,investment,fdr_1mo,6.86
1998-10-01,commercial,fdr_12mo,6.02
1998-10-01,investment,fdr_3mo,7.11
1998-10-01,commercial,fdr_3mo,6.09
1998-10-01,investment,fdr_12mo,10.05
1998-10-01,investment,fdr_9mo,11.37
1998-10-01,commercial,blr,8.49
1998-10-01,commercial,fdr_9mo,6.01
1998-11-01,commercial,fdr_1mo,5.87
1998-11-01,investment,fdr_1mo,6.51
1998-11-01,commercial,fdr_9mo,5.78
1998-11-01,commercial,sr,3.89
1998-11-01,investment,alr,11.14
1998-11-01,investment,fdr_6mo,6.37
1998-11-01,commercial,fdr_6mo,5.8
1998-11-01,commercial,alr,9.88
1998-11-01,investment,fdr_9mo,8.2
1998-11-01,commercial,fdr_3mo,5.88
1998-11-01,commercial,fdr_12mo,5.79
1998-11-01,investment,fdr_3mo,6.47
1998-11-01,commercial,blr,8.04
1998-11-01,investment,fdr_12mo,8.86
1998-12-01,investment,fdr_1mo,6.14
1998-12-01,commercial,fdr_1mo,5.82
1998-12-01,commercial,fdr_9mo,5.74
1998-12-01,commercial,sr,3.87
1998-12-01,investment,fdr_6mo,6.0
1998-12-01,investment,alr,10.71
1998-12-01,commercial,fdr_6mo,5.76
1998-12-01,commercial,alr,9.73
1998-12-01,investment,fdr_9mo,8.2
1998-12-01,commercial,fdr_3mo,5.83
1998-12-01,investment,fdr_3mo,6.29
1998-12-01,commercial,fdr_12mo,5.74
1998-12-01,commercial,blr,8.04
1998-12-01,investment,fdr_12mo,13.6
1999-01-01,commercial,blr,8.04
1999-01-01,investment,fdr_12mo,6.28
1999-01-01,investment,fdr_1mo,6.18
1999-01-01,investment,fdr_9mo,9.1
1999-01-01,commercial,fdr_9mo,5.66
1999-01-01,commercial,walr,9.669827802679727
