notif_no,product,holder,manufacturer,substance_detected
NOT171003557K,LABEAUTY BOOSTER NIGHT CREAM,LABEAUTY RESOURCES,GUANGZHOU SHANG ZHUANG COSMETICS CO. LTD,MERCURY
NOT190107639K,LANA RADIANCE NIGHT CREAM,QALBU OCEAN ENTERPRISE,TOP ON COSMETICS INDUSTRIES,HYDROQUINONE
NOT200306590K,LS REPAIRING CREAM,AA MEGA LEGACY,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY
NOT170200716K,Luffiya Night Cream 1 & 2,ARRIANA ROSE BEAUTY RESOURCES,LOLLA INDUSTRIES (MALAYSIA) SDN. BHD.,"HYDROQUINONE,MERCURY,TRETNON"
NOT201004624K,LUXE LILY BEAUTY PEELING OIL,AY & NR ENTERPRISE,"ADVANCE COSMETIC CO., LTD.","HYDROQUINONE,HYDROQUINONE"
NOT160506024K,Magic cream,MALIA MELLIA,Nund Skintech,MERCURY
NOT170204393K,MOLEEK SKINCARE ANTI PIGMENTATION CREAM PLUS,SEJAGAT GLOBAL RESOURCES,Dby Smart Trading,"TRETNON,HYDROQUINONE"
NOT231201017K,MOLLY CARE NIGHT CREAM,ABNER BEAUTY,"Fujian HaoJin Toiletries Co.,Ltd. (A subsidiary of BBC Group Limited)",MERCURY
NOT200901749K,MOMILA BEAUTY WHITENING CREAM,BYSHEILANAN ENTERPRISE,Guangzhou Baiyunqu Yanmei Cosmetics Factory,MERCURY
NOT190605136K,MS SKINZ NIGHT CREAM,REDSKY CAPITAL,Fabullite Sdn Bhd,MERCURY
NOT150903694K,NIGHT CREAM DOLLYS PINKY,LEGACY JAYA ENTERPRISE,BENNY COSMETIC CO LTD,MERCURY
NOT200405779K,Night Cream ForU By D Ains Beauty Empire,D AINS BEAUTY EMPIRE SDN. BHD,Guangzhou Baiyunqu Yanmei Cosmetics Factory,"HYDROQUINONE,STEROID,TRETINOIN"
NOT220102940K,Ninaskincare Skin Puteh Moisturizer,Nina Beauty Legacy,"GUANGZHOU BOXUANYA COSMETICS CO.,LTD.",MERCURY
NOT200704119K,NP BEAUTY FM CREAM,NP BEAUTY RESOURCES,Guangzhou Baiyunqu Yanmei Cosmetics Factory,MERCURY
NOT150900193K,NURIZ  SHOPPE -UV PEARL CREAM,PROGRESSIVE  MIX INDUSTRIES,PROGRESSIVE MIX INDUSTRIES,MERCURY
NOT140304146K,NV Anti Blemish Toner 1,NOUVELLE BEAUTY CENTRE SDN. BHD.,QEMRICH SDN. BHD.,HYDROQUINONE AND TRETINOIN
NOT190702019K,Qeziger Age-locking Recharging Spot A.M Cream,ELEMENSIVE MANUFACTURE ENTERPRISE,"MELL BIOTECH CO.,LTD",MERCURY
NOT220106011K,RISSA SKIN MOISTURISER,TWIN RICH SOLUTION,"IREAL PLUS (THAILAND) CO., LTD.","STEROID,HYDROQUINONE,TRETINOIN"
NOT170402517K,ROBISIS - Anti-Acne Whitening Day & Night Cream,YS Medicals Sdn. Bhd.,Cosmaprof Co. Ltd.,MERCURY
NOT150501310K,ROYAL EXPERT WHITENING CREAM ,ORTUS EXPERT COSMETICS SDN. BHD.,QCM COSMETICS INTERNATIONAL,MERCURY
NOT180705530K,RZAC BEAUTY CREME 2,R-ZAC SDN. BHD.,SIAM YOKO CO. LTD,MERCURY
NOT241104182K,SAQA GLOWING TURMERIC NIGHT TREATMENT CREAM,SNH SAKA EMPIRE,GUANGZHOU SHANG ZHUANG COSMETICS CO. LTD,MERCURY
NOT210605524K,SERENE TREATMENT CREAM,RICHGOLDS ENTERPRISE,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY
NOT210302928K,SKIN DESSERT CREAM,AILEZEE EMPIRE,"Guangzhou Meisheng Cosmetic Co., Ltd.",MERCURY
NOT191103319K,SKIN REVOLUTION - Acne Clearing Solution,SANSBEAU COSMETICS SDN.BHD.,GUANGZHOU BAILICHEM COSMETICS CO.LTD,METRONIDAZOLE
NOT220405081K,SKIN REVOLUTION -PAP - BLEMISH FADE CREAM,FRANEVYNS BEAUTE INTERNATIONAL SDN.BHD.,SANSBEAU COSMETICS SDN.BHD.,"METRONIDAZOLE,CLINDAMYCIN"
NOT230202916K,SKINMADE AZ & SALICYLIC ACID + LICORICE ROOT SERUM,Beauty Effect Store Sdn. Bhd.,VNI SCIENTIFIC SDN BHD,AZELAIC ACID
NOT210700039K,SKINSISTER BABYSKIN TREATMENT CREAM,MAGNIVQUE EMPIRE RESOURCES,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY
NOT200706569K,SL TWO INTENSIVE,D AMAN KOSMETIK & ENTERPRISE,GUANGZHOU SHANG ZHUANG COSMETICS CO. LTD,"STEROID,HYDROQUINONE"
NOT221003358K,Snow White Treatment Cream,BELLANASZ  BEAUTY ,"ZHEJIANG L&J COSMETICS CO.,LTD.",MERCURY
NOT180901024K,SPARKLE MOON NIGHT CREAM,KARISMA EMPAYAR SDN. BHD.,"MERRY COSMETIC LABORATORIES CO., LTD","MERCURY,STEROID"
NOT180901005K,SPARKLE SUN DAY CREAM,KARISMA EMPAYAR SDN. BHD.,"MERRY COSMETIC LABORATORIES CO., LTD",MERCURY
NOT201003378K,SWEET 13 SKINCARE TREATMENT CREAM,JANE BEAUTY AND BOUTIQUE,"Guangzhou Meisheng Cosmetic Co., Ltd.",MERCURY
NOT170303016K,SYMA MAGICAL SERUM,SYIMA GLOBAL ENTERPRISE,SERI WV SDN. BHD.,MERCURY
NOT170505954K,TATI THERAPY CREAM 2,HDY AYLIA RESOURCES,Nund Skintech,HYDROQUINONE AND TRETINOIN
