company,state,postcode,address,poison,non_poison,traditional,health_supplement,poison_vet,non_poison_vet
ALPHAY INTERNATIONAL MALAYSIA SDN. BHD.,Selangor,47301,"A-3A-3A, CAPITAL 1, OASIS SQUARE NO. 2, JALAN PJU 1A/7A OASIS DAMANSARA",0,0,1,0,0,0
ALPRO ALLIANCE (PAHANG) SDN BHD,Pahang,25300,"A401, Taman Sri Kuantan III Jalan Beserah",1,1,1,1,1,0
ALPRO ALLIANCE (PENANG) SDN BHD,Pulau Pinang,11500,"52A, LINTANG ANGSANA,",1,1,1,1,1,1
ALPRO ALLIANCE (SABAH) SDN. BHD.,Sabah,88000,"NO. 93, GROUND FLOOR JALAN GAYA",1,1,1,1,0,0
ALPRO ALLIANCE (SARAWAK) SDN. BHD.,Sarawak,93400,LOT 311-G JALAN SATOK,1,1,1,1,0,0
ALPRO PHARMACY SDN.BHD,Sabah,88300,"LOT 12 (TYPE A2), INDUSTRI E33 LIKAS, MILE 2 1/2 JALAN TUARAN, LIKAS",1,1,1,1,1,1
AM PM Pharmacy Sdn Bhd,Johor,81000,"NO. 9, JALAN SME 1 KAWASAN PERINDUSTRIAN SME BANDAR INDAHPURA",1,1,1,1,0,0
AMANI LIFE SDN. BHD.,Selangor,40460,"NO. 3A (TINGKAT 1) JALAN ANGGERIK MOKARA F 31/F KOTA KEMUNING, SEKSYEN 31",0,0,1,1,0,0
AMC NETWORK SDN. BHD.,Negeri Sembilan,70300,"No. 32, First Floor, Jalan S2 F1 Garden Homes, Seremban 2",1,1,1,1,0,0
AMC PHARMA SDN BHD,Kelantan,16450,"PT 5074, KOMPLEKS PERNIAGAAN SAIDINA ALI KOK LANAS",1,1,1,1,1,1
AMN Health,Johor,85000,"NO. 34, JALAN GENUANG PERDANA TAMAN GENUANG PERDANA",1,1,1,1,1,1
AMWAY (MALAYSIA) SDN. BHD.,Johor,83000,"NO. 12, JALAN LINGKARAN BENTARA 1 PUSAT KOMERSIAL BENTARA",0,1,1,1,0,0
ANFORT CORPORATION SDN. BHD.,Selangor,47500,"NO. 10, JALAN NILAM 2 TAMAN PERINDUSTRIAN TEKNOLOGI TINGGI SUBANG",1,1,0,1,1,1
ANHONG TRADING SDN. BHD.,W.P. Kuala Lumpur,56000,"12, Jalan Nadchatiram 1 Taman Taynton View",0,0,1,0,0,0
ANIM PHARMACY AND SUPPLIES SDN. BHD.,Sabah,91100,"LOT 9, PERDANA SQUARE PHASE 5 MDLD 8683, JALAN SILAM",1,1,1,1,0,0
ANTAH PHARMA SDN. BHD.,Selangor,46300,"No. 3, Jalan 19/1 Seksyen 19",1,1,1,1,0,0
AP BIORESOURCES SDN. BHD.,W.P. Kuala Lumpur,50480,"B2-3A-7, SOLARIS DUTAMAS JALAN DUTAMAS 1, SOLARIS DUTAMAS",1,1,1,1,0,0
APD PHARMA (BORNEO) SDN. BHD.,Sabah,88300,"LOT 12 (TYPE A2), INDUSTRI E33 LIKAS MILE 2 1/2, JALAN TUARAN LIKAS",1,1,1,1,0,0
APD Pharma Sdn. Bhd.,Negeri Sembilan,71050,"NO. 2-1, JALAN PDS 4, PD SUNGGALA GATEWAY TELOK KEMANG",1,1,1,1,0,0
Apex Biocare Sdn Bhd,Johor,81100,"1A, Jalan Molek 2/1 Taman Molek",0,0,1,1,0,0
APEX PHARMACY MARKETING SDN. BHD.,Perak,31650,"No. 2, 4, 4A, 6, 8 & 10, Medan Bendahara 2 Jalan Leong Tian",1,1,1,1,0,0
APM PHARMACY SDN. BHD.,Johor,81620,"NO. 38-01, JALAN PERSIARAN BAYU DAMAI 2/2 TAMAN BAYU DAMAI PENGERANG",1,1,1,1,0,0
APSN BIOTECH SDN. BHD.,Selangor,46100,"LOT 18A & 18B, JALAN 241 SEKSYEN 51A",1,1,0,1,1,1
AQURATE INGREDIENTS INTL (M) SDN. BHD.,Selangor,43200,"LOT 31 & 33, JALAN AWANA 15, TAMAN CHERAS AWANA, BATU 9,",0,0,1,1,0,0
AS ENG JOO TRADING SDN. BHD.,Kedah,05400,"A8 & A9, TAMAN SAGA JALAN ALOR MENGKUDU",0,1,1,1,0,0
ASAMED SDN. BHD.,Negeri Sembilan,71050,"No. 10-1, Jalan PDS 4 PD Sunggala Gateway Telok Kemang",1,1,1,1,1,1
ASIA HEALTHCARE SDN. BHD.,Selangor,47000,17-1 & 19-1 JALAN SB JAYA 11 TAMAN INDUSTRI SB JAYA,0,0,1,1,0,0
