company,state,postcode,address,poison,non_poison,traditional,health_supplement,poison_vet,non_poison_vet
CMH MEDICARE SDN. BHD.,Negeri Sembilan,70200,"BLOCK A (GROUND FLOOR) & BLOCK B LOT 3900, JALAN TUN DR. ISMAIL",1,1,1,1,0,0
CNI ENTERPRISE (M) SDN. BHD.,Sabah,88450,"LOT 121, BLOK N-5, GROUND & FIRST FLOOR LORONG PLAZA PERMAI 3 JALAN SULAMAN HIGHWAY",0,1,1,1,0,0
COLUMBIA ASIA SDN BHD,Selangor,43200,"COLUMBIA ASIA HOSPITAL-CHERAS LOT 33107, JALAN SUAKASIH",1,0,0,0,0,0
CONFORER GLOBAL SDN BHD,W.P. Kuala Lumpur,55100,"NO. 9-9C & 11-11C JALAN PANDAN 3/5, PANDAN JAYA",0,0,1,1,0,0
Costmed Pharmacy Sdn. Bhd.,Sarawak,96000,NO. 70A JALAN MARKET,1,1,1,1,0,0
COSWAY (M) SDN. BHD.,W.P. Kuala Lumpur,55100,"LG14 & LG15 Lower Ground Floor, Berjaya Times Square Jalan Imbi",0,0,1,1,0,0
COZY PHARMACY,Negeri Sembilan,70450,"335, JALAN BERLIAN, TAMAN SENAWANG JAYA",1,1,1,1,0,0
Cp Centrecare Pharmacy Sdn. Bhd.,Melaka,75100,"53, Jalan Bendahara",1,1,1,1,0,0
Daiwa Enterprise Co,Sabah,88450,"No. 1, Lorong Buah Sukun Selundang Industrial Estate Jalan Kilang, Kolombong",0,0,1,0,0,0
DAMAI RX SDN BHD,Kedah,08800,"FARMASI DAMAI, NO. 100-A, JALAN ALOR SETAR, GUAR CHEMPEDAK",1,1,1,1,0,0
Danberg (m) Sdn Bhd,Selangor,40300,"Lot 1, Jalan Bursa 23/4 Seksyen 23",1,0,0,0,1,0
DAVOS LIFE SCIENCE SDN BHD,Selangor,42920,"NO. 25, JALAN SUNGAI PINANG 5/18 FASA 2D, TAMAN PERINDUSTRIAN PULAU INDAH",0,0,0,1,0,0
DCH AURIGA (MALAYSIA) SDN. BHD.,Selangor,40300,"Lot 6, Persiaran Perusahaan Seksyen 23",1,1,1,1,0,0
DE NEW PHARMACY SDN. BHD.,Sabah,90000,"LOT 7, BLOK F, TINGKAT BAWAH, SIBUGA JAYA COMMERCIAL CENTRE BATU 8, JALAN LABUK",1,1,1,1,0,0
DELFI MARKETING SDN. BHD.,Selangor,47650,"Level 6, Block A, Sky Park One City, Jalan USJ 25/1",1,1,1,1,1,1
DESA SOUTHERN AGENCY SDN. BHD.,Johor,83300,"NO. 1, LOT 2907, JALAN SRI BENGKAL PARIT SENGKUANG, SRI GADING",0,0,1,0,0,0
DESMAJU SDN BHD,Pulau Pinang,14000,"74, Jalan Perniagaan Pusat Perniagaan Alma",1,1,1,1,0,0
Dexchem Industries Sdn Bhd,Pulau Pinang,14000,"NO. 6 & 8, JALAN INDUSTRI CHEROK TOKUN 2 TAMAN INDUSTRI CHEROK TOKUN",1,0,0,0,1,0
DHL SUPPLY CHAIN (MALAYSIA) SDN. BHD.,Selangor,40300,"Lot 4, Persiaran Perusahaan Seksyen 23",0,1,0,1,0,0
DHPL MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,60000,"B-02-05, PLAZA TTDI JALAN WAN KADIR 3 TAMAN TUN DR ISMAIL",1,1,1,1,0,0
DIAGNOSTIC SYSTEMS (M) SDN. BHD.,Selangor,47301,"1002, LEVEL 10, BLOCK A (LOBBY A) KELANA CENTRE POINT NO. 3, JALAN SS7/19, KELANA JAYA",1,0,0,0,0,0
DIMENSISS HEALTHCARE SDN. BHD.,Selangor,41050,"No. 28, Jalan Astana 1D/KU2 Bandar Bukit Raja",1,1,1,1,0,0
DKSH MALAYSIA SDN. BHD.,Sarawak,93050,"Lot 1200, Block 8, Muara Tebas Land District Demak Laut Industrial Park, Phase 4 Sejingkat, Jalan Bako",1,1,1,1,0,1
DLYND ENTERPRISE,Pahang,25000,"B-120, 2ND FLOOR JALAN WONG AH JANG",0,0,0,1,0,0
Dr. Reddy`s Laboratories Malaysia Sdn. Bhd.,W.P. Kuala Lumpur,59200,"Unit No. SO-29-07 & SO-29-08 Menara 1, Strata Office No. 3, Jalan Bangsar, KL Eco City",1,0,0,0,0,0
Dragon Ginseng Bio-Tech Sdn Bhd,Selangor,42200,"NO. 11, JALAN WAWASAN 4A/KU7 KAWASAN PERINDUSTRIAN SUNGAI KAPAR INDAH BATU 6, JALAN KAPAR",0,0,1,0,0,0
DS Pharma Herbs Sdn. Bhd.,Kedah,06000,Lot 54 IKS Keda Napoh,0,0,1,0,0,0
DSAB Holdings Sdn Bhd,W.P. Kuala Lumpur,59100,"Suite 8-8-10, 8th Floor Menara Mutiara Bangsar Jalan Liku Bangsar",0,0,1,1,0,0
DSB PHARMA SDN. BHD.,Johor,84000,"Salcare Pharmacy No. 4, Taman Pertama Indah Jalan Sungai Abong",1,1,1,1,0,0
DSN PHARMA SDN. BHD.,Selangor,47180,"13-1, JALAN DU 2/1 TAMAN DAMAI UTAMA",1,1,1,1,1,1
DUOLEAF HEALTHCARE SDN. BHD.,Selangor,46100,"NO. 20, GROUND FLOOR, FIRST FLOOR & SECOND FLOOR, JALAN 51A/225A ZON PERINDUSTRIAN PJCT SEKSYEN 51A",0,0,1,1,0,0
DUOPHARMA (M) SENDIRIAN BERHAD,Selangor,41200,"Lot 2599, Jalan Seruling 59,  Kawasan 3, Taman Klang Jaya,",1,0,0,0,0,0
DUOPHARMA DISTRIBUTION SDN. BHD.,Pulau Pinang,14000,"NO. 7, LORONG PERDA TIMUR 7 BANDAR PERDA",1,1,1,1,0,0
DUOPHARMA HAPI SDN. BHD.,Selangor,40150,"NO. 2, JALAN SAUDAGAR U1/16 ZON PERINDUSTRIAN HICOM GLENMARIE SEKSYEN U1",1,0,0,0,0,0
Duopharma Marketing Sdn. Bhd.,Selangor,43650,"LOT NO. 2, 4, 6, 8 & 10 JALAN P/7, SECTION 13 BANGI INDUSTRIAL ESTATE",1,1,1,1,1,0
DXN MARKETING SDN BHD,Selangor,47301,"NO. 8, BLOK C, SURIA BUTIK OFFICE JALAN PJU 1/42, DATARAN PRIMA",0,0,1,0,0,0
DY HEALTHCARE SDN BHD,Pulau Pinang,11600,596G JALAN JELUTONG,1,0,0,0,0,0
DYNAPHARM MARKETING (M) SDN BHD,Selangor,40150,"No. 6, Jelutong Prime, Jalan Ruang U8/103 Bukit Jelutong, Seksyen U8",1,1,1,1,0,0
E HEALTH SDN. BHD.,Selangor,42200,"No. 2, Jalan Meru Indah 22/KU8 Kawasan Perindustrian Meru Barat Klang Utara (KU8)",0,0,1,1,0,0
e-GIRIN INTERNATIONAL SDN. BHD,Melaka,75000,"NO. 26, 26A & 26B, JALAN MELAKA RAYA 20, TAMAN MELAKA RAYA",0,0,1,0,0,0
E.V Care Pharmacy,Perak,36000,"11, JALAN PASAR",1,1,1,1,0,0
EAGLE CLIFFE (M) SDN BHD,Selangor,46000,"BLOK NO. A-9-1, 10-1 & 11-1, JALAN PJS 2/16A TAMAN MAJU JAYA",1,1,1,1,0,0
EARTH GREEN PHARMACY SDN BHD,Pahang,25200,"No. 52, 54 & 56 Ground Floor (Malay Town), Jalan Putra Square 1",1,1,1,1,0,0
EDARAN SNW SDN BHD,Kelantan,15100,"LOT 505, LORONG HAJI KADIR, BATU 2 JALAN KUALA KRAI",0,1,0,1,0,0
EDEN PHARMACY SDN. BHD.,Selangor,40170,"7-1-2, Jalan Setia Prima A, U13/A Setia Alam, Seksyen U13",1,1,0,1,0,0
EE KOH ENTERPRISE SDN BHD,Pulau Pinang,14100,"46, LORONG IKS JURU 7 TAMAN PERINDUSTRIAN RINGAN JURU",0,1,1,1,0,0
EE PHARMACY (M) SDN. BHD.,Selangor,40200,"NO. 8-G, TINGKAT BAWAH JALAN PAHAT G 15/G KOMPLEKS OTOMOBIL, SEKSYEN 15",1,1,1,1,0,0
EHSAN MARKETING  SDN BHD,Kelantan,15200,"NO. 1624, JALAN GUCHIL BAYAM",0,1,0,1,0,0
ELDON HEALTHCARE SDN. BHD.,Johor,81000,"NO. 84, JALAN I-PARK 1/9 KAWASAN PERINDUSTRIAN I-PARK BANDAR INDAHPURA",0,1,1,1,0,0
ELEGANT WORLD (M) SDN. BHD.,Selangor,47620,"NO. 11, JALAN TP5 TAMAN PERINDUSTRIAN UEP",0,0,1,1,0,0
ELITE BOND SDN. BHD.,Sabah,88300,"LOT 2, POLY INDUSTRIAL CENTRE (HSK) PENAMPANG",0,0,1,0,0,0
ELKEN SDN. BHD.,Johor,81100,"11-G, 11-01, 11-02- 15-01 & 15-02 Jalan Ponderosa 2/2, Taman Ponderosa",0,0,1,1,0,0
Emax Distribution Sdn. Bhd.,W.P. Kuala Lumpur,50450,"T1-19, 3 Tower Jalan Ampang",1,1,0,1,0,0
EMBUN ELIT SDN.BHD.,Selangor,46200,"NO. 15-3A, BLOCK A, JAYA ONE NO. 72A, JALAN UNIVERSITI",0,1,1,1,0,1
ENG KONG PHARMACY SDN. BHD.,Sarawak,97000,SHOPLOT 13 OF PARENT LOT 2646 BINTULU TOWN DISTRICT JALAN TUN AHMAD ZAIDI,1,1,1,1,1,1
ENINC JAYA SDN. BHD.,W.P. Kuala Lumpur,58000,"17-01, LEVEL 17, MENARA MBMR 1, JALAN SYED PUTRA",0,1,1,1,0,0
EP PLUS GROUP SDN. BHD.,W.P. Kuala Lumpur,50480,"BLOCK C-3-1, PLAZA MONT KIARA NO. 2, JALAN KIARA MONT KIARA",1,1,1,1,0,0
EPSILON HEALTHCARE SDN BHD,Selangor,47100,"NO. 11, JALAN PPU 3A PUSAT TEKNOLOGI SINAR PUCHONG",0,1,1,1,0,1
Esprit Care Sdn. Bhd.,Selangor,47100,"N0. 65, 67 & 69, JALAN TPP 1/13 TAMAN PERINDUSTRIAN PUCHONG, BATU 12",0,0,1,1,0,0
ETERNAL WISE SDN.BHD,W.P. Kuala Lumpur,56000,"No. 49-G & 49-1 Jalan Damai Raya 1 Alam Damai,",0,0,1,1,0,0
ETHOS HEALTHCARE SDN. BHD.,Selangor,63000,"NO. A-04-11, BLOK A TAMARIND SQUARE CYBER 10",0,0,1,1,0,0
EU YAN SANG (1959) SDN.BHD.,W.P. Kuala Lumpur,55100,"NO. L2-01 & L2-02, 2ND FLOOR SHAW PARADE NO. 152, CHANGKAT THAMBI DOLLAH",0,0,1,0,0,0
EUCOGEN SDN BHD,Selangor,40460,"NO. 6A, JALAN SUNGAI BURUNG U32/U BUKIT RIMAU, SEKSYEN 32",1,1,1,1,0,0
Eureka Healthcare (M) Sdn. Bhd.,Selangor,43650,"NO. 4A, JALAN 4/11 SEKSYEN 4 TAMBAHAN",1,1,1,1,0,0
EUROBIO SDN BHD,Selangor,46050,"Amcorp Business Suites, Level 10, W-10-19 Menara Melawangi, Amcorp Trade Centre 18, Jalan Persiaran Barat",0,0,1,1,0,0
Evereign Trading Sdn Bhd,Sabah,90718,"LOT 7, BLOCK C, TINGKAT BAWAH KOMPLEKS LEILA PETI SURAT 1666",0,1,1,1,0,0
Evexia Ranau Pharmacy,Sabah,89308,"ARAS BAWAH, LOT NO. 3, BLOK N BANGUNAN SEDCO PEKAN RANAU D/A PETI SURAT 113",1,0,0,0,0,0
EW GLOBAL SDN. BHD.,Sabah,88460,"LOT 2, LORONG RBF 5 1 INDUSTRIAL ZONE 7 (1Z 7) KKIP",0,0,0,1,0,0
EXPERTCARE PHARMACY SDN BHD,W.P. Labuan,87028,"U0121, JALAN OKK AWANG BESAR,",1,0,0,0,1,0
EXPRESSSAVE PHARMACY SDN BHD,W.P. Kuala Lumpur,50470,NO. 72A JALAN PADANG BELIA BRICKFIELDS,1,1,0,1,0,0
EXTRA EXCEL (MALAYSIA) SDN. BHD.,Sarawak,93350,"LOT 10970, GROUND FLOOR, BLOCK 16 KCLD, JALAN SONG",0,0,1,0,0,0
EZ RIVER EMPIRE SDN. BHD.,Pulau Pinang,14000,"NO. 26 (GROUND FLOOR) JALAN PERDA SELATAN, BANDAR PERDA",1,1,1,1,0,0
FAR EAST PHARMACY (LAHAD DATU) SDN BHD,Sabah,91112,"LOT 5, BLOCK 17 SUDC SHOPHOUSE JALAN KASTAM LAMA",1,1,1,1,1,1
Far East Pharmacy Sdn Bhd,Sabah,91000,"NO. 3680, TINAGAT PLAZA MILE 2.5, JALAN BUNGA RAYA OFF JALAN APAS",1,0,0,0,0,0
FARMACO HEALTHCARE SDN. BHD.,Selangor,47500,"E-05-09, Sunway Geo Avenue Jalan Lagoon Selatan Bandar Sunway",1,1,1,1,0,0
FARMASI  BINTANG,Johor,85300,"151, JALAN SEGAMAT TAMAN LABIS",1,1,1,1,1,1
FARMASI AD DEEN,Negeri Sembilan,73000,"NO. B-5, KOMPLEK TAMPIN SQUARE",1,1,1,1,1,1
FARMASI AIMAN,Terengganu,21700,"Lot 250, Jalan Astaka, Jalan Besar Kuala Berang-Kg. Sekayu",1,1,1,1,0,0
FARMASI AL ARIF SDN BHD,Selangor,43000,G-39 SAVILLE KAJANG JALAN REKO,1,1,1,1,0,0
FARMASI ALANG SDN BHD,Melaka,78300,"SU 931, JALAN BANDAR BARU 6 PUSAT PERNIAGAAN BANDAR BARU MASJID TANAH",1,1,1,1,0,0
FARMASI AN-NISA SDN. BHD.,Selangor,42300,"19, Jalan Niaga Bestari 6 Puncak Bestari",1,1,0,1,0,0
FARMASI ARIV VISION (TELOK PULAI) SDN BHD,Selangor,41100,"NO. 202, LOT 437, TINGKAT BAWAH JALAN SUNGAI BERTIK TELOK PULAI COMMERCIAL CENTRE",1,0,0,0,0,0
FARMASI ASLAM (SABAH) SDN BHD,Sabah,88849,"LOT NO. 11, GROUND FLOOR & LEVEL 1 WISMA HPC, LIKAS PETI SURAT 14311",1,1,1,1,0,0
FARMASI ASTARAYA GURUN SDN. BHD.,Kedah,08300,"6, KOMPLEKS PERNIAGAAN SURIA GURUN, JALAN RAYA GURUN,",1,1,1,1,1,1
FARMASI AZAM PLT,Kedah,06000,NO. 10 TINGKAT BAWAH TAMAN PASU,1,1,1,1,0,0
FARMASI BAGAN (BW) SDN BHD,Pulau Pinang,12200,"4845, JALAN KAMPUNG BENGGALI",1,1,1,1,0,1
Farmasi Bahagia,Pahang,26100,"B22, Ground Floor Lorong Balok Darat 15 Pusat Perkhidmatan Balok",1,1,1,1,0,0
FARMASI BAIDURI SDN BHD,Terengganu,20400,"NO. 28-A, WISMA AWANG CHIK JALAN SULTAN MAHMUD",1,1,1,1,0,0
FARMASI BENTONG SDN.BHD.,Pahang,28700,"82, JALAN AH PENG",1,1,1,1,0,1
FARMASI BERTAM,Pulau Pinang,13200,"NO. 3, LORONG BERTAM INDAH 1 TAMAN BERTAM INDAH",1,1,1,1,0,0
FARMASI C S (STATION 18) SDN. BHD.,Perak,31650,"50-52, Jalan Pengkalan Barat 32 Taman Pengkalan Jaya",1,1,1,1,0,0
FARMASI C S SDN BHD,Perak,30010,"24 & 26, Jalan Tawas Baru 1 Taman Tasek Damai",1,1,1,1,0,0
FARMASI CARRIE SDN BHD,Johor,83000,"NO. 16 & 16A, JALAN FLORA UTAMA 2 TAMAN FLORA UTAMA",1,1,1,1,1,1
FARMASI CITY CARE SDN. BHD.,Pulau Pinang,14000,"NO. 7, 9, 11-G, LORONG USAHANIAGA 4 TAMAN USAHANIAGA",1,1,1,1,0,0
FARMASI DUYONG SDN BHD,Melaka,75460,"NO. 32, JALAN TDB 6 TAMAN DUYONG BESTARI",1,1,1,1,0,0
FARMASI EHSAN SDN BHD,Kelantan,16800,"PT 3045, KG. BANGGOL KERIAN BANDAR BARU",1,1,1,1,0,0
FARMASI EXCEL,Selangor,47810,"45-1, JALAN CECAWI PSB 6/19A SEKSYEN 6 KOTA DAMANSARA",1,1,1,1,0,0
FARMASI FAJR (FARMASI FAJR MARANG),Terengganu,21600,LOT 9650 (C268 A&B) KAMPUNG RHU RENDANG,1,1,1,1,1,1
FARMASI FAJR SDN BHD,Terengganu,21300,"PT 13433-K, TAMAN PERMINT MAKMUR WAKAF TEMBESU",1,1,1,1,1,1
Farmasi Goodmedic Sdn Bhd,Selangor,43000,"GROUND FLOOR OF 14G JALAN KAJANG INDAH TAMAN KAJANG INDAH, SUNGAI CHUA",1,1,1,1,0,0
FARMASI HANEEM,Pahang,25200,"A-31, JALAN IM2 BANDAR INDERA MAHKOTA",1,1,1,1,1,1
FARMASI HARTAMAS,Perak,31350,"75, LEBUH LAPANGAN SIBER 1, BANDAR CYBER",1,1,0,1,0,0
FARMASI HING SDN BHD,Perak,32000,"NO. 2 & 3, OFF JALAN TAZALI, JALAN LUMUT",1,1,1,1,1,0
FARMASI IKHWAN,Perak,31350,"NO. 11, JALAN RAPAT BISTARI 1 TAMAN RAPAT BISTARI",1,0,0,0,0,0
FARMASI IMAN SDN BHD,Kelantan,16400,"PT 367, KEDAI MELOR",1,1,0,1,0,0
FARMASI ISIHAT SDN BHD,Perak,32040,"144, JALAN PPMP 9 PUSAT PERNIAGAAN MANJUNG POINT 1",1,1,1,1,1,1
FARMASI KASIH,Kedah,05400,"B99, TINGKAT BAWAH, JALAN TANDOP UTAMA 1/1 TAMAN TANDOP UTAMA LEBUHRAYA SULTANAH BAHIYAH",1,1,1,1,1,1
FARMASI KUALA NERUS SDN BHD,Terengganu,21030,"10376, KAMPUNG GONG DATUK MENGABANG TELIPOT",1,1,1,1,0,0
FARMASI KUNAK SDN. BHD.,Sabah,91207,"K000-01-016, GROUND FLOOR BANGUNAN BATU PEKAN KUNAK, JALAN TERATAI",1,1,1,1,1,1
FARMASI LANGKAP,Perak,36700,"PT2676, TAMAN BARU, JALAN LANGKAP",1,1,1,1,0,0
FARMASI LIMBONGAN (M) SDN BHD,Melaka,75200,"NO. 5, 7, 9, 9-1, JALAN KRISTAL 1 TAMAN LIMBONGAN INDAH",1,1,1,1,1,1
Farmasi LP Sdn. Bhd.,Selangor,41200,"NO. 27, JALAN BAYU TINGGI 1A/KS6 TAMAN BAYU TINGGI",1,1,1,1,0,1
FARMASI MEDIGLO,Pahang,25300,B-2006 & B-2008 JALAN AIR PUTIH,1,0,0,0,0,0
Farmasi Millenium (Sri Sentosa) Sdn Bhd,W.P. Kuala Lumpur,58000,"L1-013, TINGKAT BAWAH, JALAN 8A/133 TAMAN SRI SENTOSA",1,1,1,1,0,0
FARMASI MUAMMAR,Kelantan,17500,LOT 8621 JALAN ISMAIL PETRA,1,1,1,1,0,0
FARMASI MURNI MARKETING SDN BHD,Johor,83000,"No. 3 & 4, Jalan Kundang Taman Bukit Pasir",1,1,1,1,1,1
FARMASI MYINDAH (M) SDN.BHD,Kedah,09700,"NO. 13, JALAN MUTIARA BIRU TAMAN MUTIARA (1-500) KARANGAN",1,1,1,1,0,0
FARMASI NAJWA RX,Perak,34200,"No. 5, Jalan Asuhan Pusat Perniagaan Setia Jaya Taman Setia Jaya",1,1,1,1,0,0
FARMASI OMNICARE SDN BHD,Selangor,46000,"76, JALAN OTHMAN",1,1,1,1,0,1
FARMASI PANTAI HILLPARK,W.P. Kuala Lumpur,59200,"NO. 27, JALAN PANTAI MURNI 6 DESA PANTAI PANTAI HILLPARK",1,1,1,1,0,0
FARMASI PASIR PANJANG SDN BHD,Terengganu,21100,LOT 3452-B JALAN PASIR PANJANG,1,1,1,1,1,0
FARMASI PERDANA,Kelantan,15000,"LOT G30/G31, MEDAN USAHAWAN JALAN MAHMOOD",1,1,0,1,0,0
Farmasi R.S. Sdn Bhd,Perak,30100,"NO. 361 & 363, JALAN SILIBIN TAMAN SAZ",1,1,1,1,1,1
FARMASI SEGAMAT,Johor,85400,"FARMASI CHAAH NO. 25, JALAN YONG PENG, TAMAN DAMAI JAYA 2",1,1,1,1,1,1
FARMASI SHARIFAH NUR,Johor,86400,"12, JALAN SUSUR INTAN, TAMAN INTAN PARIT RAJA",1,0,0,0,0,0
FARMASI SIHAT SDN BHD,Johor,83100,"NO. 7, 7A & 8 JALAN MUHIBAH RENGIT",1,1,1,1,0,0
FARMASI SITIAWAN SDN BHD,Perak,32000,"188, TAMAN SITIAWAN MAJU",1,1,1,1,0,0
Farmasi Srisai Sdn. Bhd,Perak,35900,"No. 22, Jalan Cahaya Taman Anggerik Desa",1,1,1,1,1,1
FARMASI TALANG,Perak,33000,"NO. 7, PERSIARAN LAVENDER TAMAN LAVENDER",1,1,1,1,1,1
FARMASI TANJUNG SINAR SDN. BHD.,Sabah,91000,"TB 4385, LOT 1, BLOCK B, PASAR RAYA PLAZA JALAN COASTAL HIGHWAY",1,1,1,1,1,1
FARMASI ZEST SDN BHD,Johor,85000,"FARMASI YAYASAN NO. 3, JALAN PKY 1 PUSAT KOMERSIAL YAYASAN",1,1,1,1,1,1
FASHION INDEX SDN. BHD.,Johor,81000,"No. 49, Jalan SME 2 Kawasan Perindustrian SME Bandar Indahpura",0,0,0,1,0,0
FERNMART AGENCY SDN. BHD.,Perak,31550,LOT 305808 PT14483 PERSIARAN BATU GAJAH PERDANA 4 TAMAN BATU GAJAH PERDANA,0,1,0,1,0,0
FHM HEALTHCARE SDN. BHD.,Selangor,42700,"NO. 137, JALAN LU 2/2 TAMAN LANGAT UTAMA",1,1,1,1,1,1
FIDIN UNIVERSAL SDN BHD,W.P. Kuala Lumpur,54200,"B-5-3 & B-5-3A, Setiawangsa Business Suite Jalan Setiawangsa 11, Taman Setiawangsa,",1,0,0,0,0,0
Fijiliam Enterprise Sdn. Bhd.,Negeri Sembilan,70200,No. 100 & 101 Taman AST Jalan Sungai Ujong,1,0,0,0,0,0
FIRST BIOFARM SDN. BHD.,Pulau Pinang,14000,"6, LORONG INDUSTRI RINGAN PERMATANG TINGGI 4 KAWASAN INDUSTRI RINGAN PERMATANG TINGGI",1,1,0,1,1,1
FIRSTCARE PHARMACY SDN BHD,Selangor,41200,"11-0-1 & 13-0-1, LORONG BATU NILAM 10A BANDAR BUKIT TINGGI",1,0,0,0,0,0
FMC GREENLAND SDN. BHD.,Selangor,47100,"NO. 18, JALAN BP 5/11 BANDAR BUKIT PUCHONG",0,0,1,0,0,0
FORLIFE RESEARCH SDN. BHD.,W.P. Kuala Lumpur,59200,"Ground Floor, Tower 2 Avenue 3, The Horizon, Bangsar South No. 8, Jalan Kerinchi",0,0,1,1,0,0
FRESENIUS KABI MALAYSIA SDN. BHD,Selangor,46100,"3-1 & 3-2, AXIS TECHNOLOGY CENTRE LOT 13, JALAN 51A/225",1,1,0,1,0,0
FRESENIUS MEDICAL CARE MALAYSIA SDN. BHD.,Selangor,46100,"SECOND FLOOR, AXIS TECHNOLOGY CENTRE LOT 13, JALAN 51A/225",1,0,0,0,0,0
FSR HOUSE HEALTHCARE,Kedah,08000,"NO. 124-E, PEKAN BARU TIKAM BATU",1,1,1,1,0,0
FTA PHARMA SDN. BHD.,Selangor,47301,"C-9-13A, C-9-16 & C-9-35 Centum @ Oasis Corporate Park Jalan PJU 1A/2, Ara Damansara",1,1,1,1,0,0
FULLINE TRADING SDN BHD,Sabah,88450,"LOT 30, MAKAT INDUSTRIAL ESTATE PH2 BATU 5 1/2, JALAN TUARAN KOLOMBONG",0,1,1,1,0,0
FUMMAH TRADING SDN. BHD.,W.P. Kuala Lumpur,56000,"No. 19, Tingkat Bawah Jalan 13/144A Taman Bukit Cheras",0,1,1,1,0,0
FUSION SCIENTIFIC SDN. BHD.,Selangor,40150,"NO. 45, JALAN ASTAKA U8/84A I-PARC, TAMAN BUKIT JELUTONG SEKSYEN U8",0,0,0,1,0,0
FUSUN TASTY SDN. BHD.,W.P. Kuala Lumpur,52100,"NO. 44, JALAN KIP 9 KEPONG INDUSTRIAL PARK",0,1,0,1,0,0
GALAXIS HEALTHCARE SDN BHD,W.P. Kuala Lumpur,52100,"A18, JALAN KUANG BULAN TAMAN KEPONG",0,0,1,1,0,0
GALAXY OSTEO SDN. BHD.,W.P. Kuala Lumpur,52200,"NO. G-2-6, PLAZA ARKADIA NO. 3, JALAN INTISARI PERDANA DESA PARK CITY",0,0,0,1,0,0
GANO E WORLDWIDE SDN. BHD.,Selangor,47820,"B-10-01, Menara Bata (Tower B), PJ Trade Centre No. 8, Jalan PJU 8/8A Bandar Damansara Perdana",0,0,1,0,0,0
GANO EXCEL ENTERPRISE SDN BHD,Kedah,05350,"No. 3, Susuran Shahab Shahab Perdana Lebuhraya Sultanah Bahiyah",0,0,1,1,0,0
Gas Pantai Timur Sdn Bhd,Selangor,47100,"NO. 34, JALAN TPP 5/5 TAMAN PERINDUSTRIAN PUCHONG",1,1,0,1,0,0
GBA CORPORATION SDN. BHD.,Selangor,47100,"Wisma GBA, Lot 8, Jalan PPU 3 Taman Perindustrian Puchong Utama",0,1,0,1,0,0
GENLLY (M) SDN BHD,Pahang,28000,"LOT 5076, BATU 3, JALAN TEMERLOH SIMPANG SONGSANG",0,1,0,1,0,0
GENRES TRADING SDN. BHD.,Selangor,43000,"NO. 22-A, JALAN BA/10 KAWASAN PERUSAHAAN BUKIT ANGKAT SUNGAI CHUA",0,0,1,0,0,0
GENTLE-BRIGHT CORPORATION SDN. BHD.,Selangor,46050,"No. 11, Jalan PJU 1A/8 Taman Perindustrian Jaya",0,1,1,1,0,0
GERMAX SDN. BHD.,Selangor,47810,"10, JALAN PJU 3/48 SUNWAY DAMANSARA TECHNOLOGY PARK",1,1,1,1,0,0
GG HEALTHCARE SDN BHD,Selangor,40160,"NO. 33-2, JALAN ELEKTRON E U16/E DENAI ALAM SEKSYEN U16",1,1,1,1,1,1
GG PHARMA,Kedah,05400,"NO. 103, TAMAN LIMAU MANIS JALAN ALOR MENGKUDU",1,1,1,1,1,1
GHEE HUAT BROTHERS TRADING (KEL) SDN BHD,Kelantan,16100,"LOT 1438, JALAN 2, SEKSYEN 44 KAWASAN PERINDUSTRIAN PENGKALAN CHEPA FASA II",0,1,0,1,0,1
GK BIO INTERNATIONAL SDN. BHD.,Selangor,47810,"NO. 43-G & 43-1 JALAN PJU 5/21 THE STRAND, KOTA DAMANSARA",1,0,1,1,0,0
GLOBAL PETS SDN BHD,Johor,81200,"535A, JALAN PERSISIRAN PERLING 1 TAMAN PERLING",1,1,0,1,1,1
GLOBAL PHARMA SDN BHD,Sarawak,93450,"Ground & 1st Floor, Warehouse B Lot 1423, Section 66, KTLD Bintawa Industrial Estate, Jalan Keluli Bintawa",1,1,1,1,1,1
GLOBAL SCIENCE SDN. BHD.,Selangor,40150,"NO. 27, JALAN PEMAJU U1/15 HICOM GLENMARIE INDUSTRIAL PARK, SEKSYEN U1",0,1,1,1,0,0
GNC Agritech Sdn Bhd,Pulau Pinang,14000,24 & 26 (1ST FLOOR) JALAN INDUSTRI CHEROK TOKUN 3 TAMAN TOKUN JAYA,1,0,0,0,1,0
GOBUY TRADING SDN BHD,Selangor,43000,"222, Jalan Kajang Jaya 8 Taman Kajang Jaya",0,0,1,1,0,0
GoodScience Sdn. Bhd.,Selangor,48020,"NO. 7, JALAN KPK 4/3, KAWASAN PERINDUSTRIAN KUNDANG KUNDANG JAYA",1,1,0,1,0,0
GR2 Pharmacy Sdn Bhd,Pulau Pinang,10460,"Green River Pharmacy 77, Jalan Terengganu",1,0,0,0,0,0
GREAT PLUS ENTERPRISE SDN BHD,Selangor,41200,"Wisma TTS, Lot 2560 Jalan Sungai Jati",0,1,0,1,0,0
Great Zhong Ar Trading Sdn. Bhd.,Johor,81100,"No. 22, Jalan Molek 1/31 Taman Molek",0,1,1,1,0,0
GREATWALL TRADING (MELAKA) SDN BHD,Melaka,75250,"NO. 10 & 12, JALAN CHENG RIA 2 TAMAN CHENG RIA",0,0,1,0,0,0
GREATWALL TRADING COMPANY,Melaka,75250,"No. 10, Jalan Cheng Ria 2 Taman Cheng Ria",0,0,1,0,0,0
