reg_no,product,description,holder,manufacturer,date_reg,date_end
MAL19921310XZ,URACOAL TABLETS 200MG,NON PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2017-10-30,2022-10-30
MAL17107097ACREZ,hovid Olanzapine Orodispersible Tablet 5mg,PRESCRIPTION,HOVID BERHAD,Jubilant Generics Limited,2017-10-30,2022-10-30
MAL17107096ACREZ,hovid Olanzapine Orodispersible Tablet 10mg,PRESCRIPTION,HOVID BERHAD,Jubilant Generics Limited,2017-10-30,2022-10-30
MAL19921018XZ,UBREXINE TABLETS 8MG,NON PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2017-10-30,2022-10-30
MAL17106002HA,TP-COLIS 2.4MIU/ML SOLUTION,VETERINARY ,Thye Pharma Sdn. Bhd,Thye Pharma Sdn. Bhd,2017-10-30,2022-10-30
MAL19921030XZ,PARAMOL 500 TABLET,NON PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2017-10-30,2022-10-30
MAL17107100HA,YH Colistin Sulfate 10% w/w Granule,VETERINARY,Yenher Agro-products Sdn. Bhd.,Lifecome Biochemistry Co. Ltd.,2017-10-30,2022-10-30
MAL17117021TCE,VIGAMAXX Capsule,NATURAL PRODUCT,MAXX NUTRITION,VITA GREEN HEALTH PRODUCTS,2017-11-14,2022-11-14
MAL19861537ACZ,LANOXIN INJECTION 0.5MG/2ML,NEW CHEMICAL ENTITY,Aspen Medical Products Malaysia Sdn Bhd,GlaxoSmithKline Manufacturing S.p.A,2017-11-22,2022-11-22
MAL20021431XCR,BiO-LiFE Anti-FR+Selenium Tablets,HEALTH SUPPLEMENT,BIO-LIFE MARKETING SDN. BHD.,Lipa Pharmaceuticals Limited,2017-11-22,2022-11-22
MAL12115020T,'Kan Wang' Yang Gan Wan,NATURAL PRODUCT,HUAMAO AGENCIES SDN. BHD.,KAN WANG PHARM CO,2017-11-30,2022-11-30
MAL12115040TC,SHUANG LIAO YAN SHE SAN,NATURAL PRODUCT,Tai-kong Medicine Enterprise,QIS RESEARCH LABORATORY SDN. BHD.,2017-11-30,2022-11-30
MAL12115039TC,QI LI SAN,NATURAL PRODUCT,Tai-kong Medicine Enterprise,QIS RESEARCH LABORATORY SDN. BHD.,2017-11-30,2022-11-30
MAL12115012TC,JIE MEI JING ZHUANG BAI FENG WAN,NATURAL PRODUCT,Tai-kong Medicine Enterprise,QIS RESEARCH LABORATORY SDN. BHD.,2017-11-30,2022-11-30
MAL12115081AZ,"Shanchol, Cholera Vaccine (Inactivated, Oral) B.P.",BIOLOGICS,SANOFI-AVENTIS (MALAYSIA) SDN. BHD.,SHANTHA BIOTECHNICS LIMITED,2017-11-30,2022-11-30
MAL17127016TCE,Stemergy Daily Capsule,NATURAL PRODUCT,STEMERGY SDN BHD,EXCEL HERBAL INDUSTRIES SDN. BHD.,2017-12-06,2022-12-06
MAL17127014TCE,Stemergy GM 2 Capsule,NATURAL PRODUCT,STEMERGY SDN BHD,EXCEL HERBAL INDUSTRIES SDN. BHD.,2017-12-06,2022-12-06
MAL17127018TCE,Stemergy DE-T Capsule,NATURAL PRODUCT,STEMERGY SDN BHD,EXCEL HERBAL INDUSTRIES SDN. BHD.,2017-12-06,2022-12-06
MAL17127017TCE,STEMERGY FEM-GLOW CAPSULE,NATURAL PRODUCT,STEMERGY SDN BHD,EXCEL HERBAL INDUSTRIES SDN. BHD.,2017-12-06,2022-12-06
MAL17127020TC,TICOFI MORINGA 450MG CAPSULE,NATURAL PRODUCT,Herbal Miracle Sdn. Bhd.,SARI TANI DESA SDN. BHD.,2017-12-21,2022-12-21
MAL17126093TC,AVI ORGANIC BELALAI GAJAH 260mg CAPSULE,NATURAL PRODUCT,ALOE VERA INTERNATIONAL SDN BHD,PUSAT TEKNOLOGI HERBA,2017-12-21,2022-12-21
